Unnamed: 0,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),car_age,price_per_km
19,2020 Jeep Compass 1.4 Limited Plus,2020,Comprehensive,Petrol,5,48000,First Owner,Automatic,2020,14.1,1368.0,1368.0,16077.0,18.95,6,39.479166666666664
20,2021 MG Gloster Savvy 6-Str,2021,Comprehensive,Diesel,6,35000,First Owner,Automatic,2021,12.4,1996.0,1996.0,21501.0,35.0,5,100.0
21,2010 Maruti Swift 1.2 VXi BSII,2010,Comprehensive,Petrol,5,100525,First Owner,Manual,2010,16.1,1197.0,1197.0,85.0,2.09,16,2.0790848047749315
22,2015 Honda City i VTEC CVT VX,2015,Third Party insurance,Petrol,5,83000,Second Owner,Automatic,2015,18.0,1497.0,1497.0,1173.0,6.25,11,7.530120481927711
23,2011 Maruti Wagon R LXI BSIII,2011,Comprehensive,Petrol,5,40191,Second Owner,Manual,2011,998.0,671.0,671.0,90.0,2.12,15,5.274812769027892
24,2015 Audi A6 35 TDI,2015,Comprehensive,Diesel,5,62152,First Owner,Automatic,2015,18.53,1968.0,1968.0,18774.0,20.0,11,32.179173638820956
25,2017 Hyundai Creta 1.6 VTVT S,2017,Third Party insurance,Petrol,5,49000,First Owner,Manual,2017,15.29,1591.0,1591.0,1213.0,8.35,9,17.040816326530614
26,2017 Maruti Baleno 1.2 Delta,2017,Comprehensive,Petrol,5,56215,First Owner,Manual,2017,21.4,1197.0,1197.0,831.0,5.03,9,8.94778973583563
27,2018 Toyota Yaris J,2018,Comprehensive,Petrol,5,53000,First Owner,Manual,2018,17.1,1496.0,1496.0,10594.0,6.95,8,13.11320754716981
28,2015 Toyota Fortuner 4x2 AT,2015,Comprehensive,Diesel,7,100000,First Owner,Automatic,2015,12.55,2982.0,2982.0,1685.0,16.0,11,16.0
29,2020 Hyundai Creta SX Turbo BSVI,2020,Comprehensive,Petrol,5,36346,First Owner,Automatic,2020,16.8,1353.0,1353.0,13808.0,15.22,6,41.87530952511968
30,2018 Jaguar XE 2.0L Diesel Portfolio,2018,Comprehensive,Diesel,5,48000,First Owner,Automatic,2018,13.5,1999.0,1999.0,177.0,26.95,8,56.145833333333336
