Unnamed: 0,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),car_age,price_per_km
1105,2012 Maruti Swift VDI,2012,Comprehensive,Diesel,5,50018,First Owner,Manual,2012,22.9,1248.0,1248.0,74.0,4.2,0,0.18340611353711792
1106,2019 Hyundai i20 1.2 Asta,2019,Third Party,Petrol,5,38000,First Owner,Manual,2019,18.6,1197.0,1197.0,8183.0,5.6,0,0.30107526881720426
1107,2021 Maruti Baleno Zeta,2021,Zero Dep,Petrol,5,11971,First Owner,Manual,2021,21.01,1197.0,1197.0,8180.0,7.55,0,0.3593526891956211
1109,2014 Hyundai i20 Asta 1.2,2014,Comprehensive,Petrol,5,64000,First Owner,Manual,2014,18.6,1197.0,1197.0,8183.0,5.5,0,0.29569892473118276
1110,2017 Maruti Baleno 1.2 Sigma,2017,Comprehensive,Petrol,5,37000,First Owner,Manual,2017,1197.0,831.0,831.0,115.0,5.05,0,0.004218880534670008
1111,2015 Hyundai i20 Asta 1.4 CRDi,2015,Comprehensive,Diesel,5,92000,First Owner,Manual,2015,22.54,1396.0,1396.0,8873.0,5.95,0,0.2639751552795031
1112,2019 Maruti Alto K10 VXI,2019,Comprehensive,Petrol,5,70000,Second Owner,Manual,2019,23.95,998.0,998.0,6705.0,3.4,0,0.1419624217118998
1113,2021 Maruti Vitara Brezza LXI,2021,Comprehensive,Petrol,5,83000,First Owner,Manual,2021,17.03,1462.0,1462.0,10326.0,7.95,0,0.46682325308279504
1114,2020 Maruti Wagon R LXI,2020,Comprehensive,Petrol,5,32000,First Owner,Manual,2020,998.0,6705.0,6705.0,90.0,5.1,0,0.005110220440881763
1115,2018 Maruti Baleno Alpha Diesel,2018,Comprehensive,Diesel,5,88000,Second Owner,Manual,2018,27.39,1248.0,1248.0,74.0,5.9,0,0.2154070828769624
1116,2012 Maruti Swift Dzire LXI,2012,Third Party insurance,Petrol,5,105885,First Owner,Manual,2012,1197.0,8850.0,8850.0,113.0,3.27,0,0.002731829573934837
1117,2017 Honda WR-V i-DTEC VX,2017,Zero Dep,Diesel,5,93774,First Owner,Manual,2017,25.5,1498.0,1498.0,986.0,7.15,0,0.2803921568627451
1118,2020 Mercedes-Benz C-Class Progressive C 220d,2020,Third Party insurance,Diesel,5,44000,First Owner,Automatic,2020,12.6,1950.0,1950.0,194.0,39.5,0,3.134920634920635
1119,2016 Hyundai Grand i10 Magna,2016,Third Party,Petrol,5,86981,First Owner,Manual,2016,1197.0,82.0,82.0,114.0,4.21,0,0.003517126148705096
1120,2019 Maruti Baleno 1.2 Zeta,2020,Zero Dep,Petrol,5,48728,First Owner,Manual,2019,21.4,1197.0,1197.0,831.0,6.66,1,0.31121495327102805
1121,2013 Hyundai Verna 1.6 SX VTVT,2013,Comprehensive,Petrol,5,87001,First Owner,Manual,2013,17.01,1591.0,1591.0,1213.0,4.65,0,0.27336860670194
1122,2016 Maruti Wagon R VXI BS IV,2016,Third Party,Petrol,5,50595,First Owner,Manual,2016,20.51,998.0,998.0,6704.0,4.11,0,0.20039005363237444
1123,2021 Honda Jazz V CVT,2021,Comprehensive,Petrol,5,31000,First Owner,Automatic,2021,17.1,1199.0,1199.0,8850.0,8.5,0,0.49707602339181284
1124,2015 Hyundai Grand i10 Magna,2015,Third Party,Petrol,5,103012,First Owner,Manual,2015,1197.0,82.0,82.0,114.0,4.14,0,0.0034586466165413532
1125,2013 Maruti Swift VXI,2014,Third Party,Petrol,5,108929,First Owner,Manual,2013,22.38,1197.0,1197.0,8850.0,3.84,1,0.17158176943699732
1126,2016 Honda BR-V i-VTEC V CVT,2016,Third Party insurance,Petrol,7,57000,First Owner,Automatic,2016,15.4,1497.0,1497.0,1173.0,7.95,0,0.5162337662337663
